Departamento;Municipio;Semester;count;min;max;mean;std,
ARAUCA;SARAVENA;2023-S1;24277;0.0;4.6;0.029632985953783414;0.15415137841366658,
RISARALDA;LA VIRGINIA;2023-S1;81094;0.0;1.778;0.0091192936592103;0.07829532405512292,
MAGDALENA;SAN SEBASTIÁN DE BUENAVISTA;2023-S1;13371;0.0;12.7;0.008937252262358837;0.22406825249622636,
CASANARE;TRINIDAD;2023-S1;4188;0.0;12.9;0.025525310410697232;0.2915092310595902,
CASANARE;OROCUÉ;2023-S1;23017;0.0;14.7;0.026367467524003995;0.30512705433831383,
CHOCÓ;SAN JOSÉ DEL PALMAR;2023-S1;23741;2.7;6.7;6.691238785223875;0.08781194660507087,
CHOCÓ;EL ATRATO;2023-S1;24466;0.0;0.0;0.0;0.0,
BOYACÁ;LABRANZAGRANDE;2023-S1;21261;0.0;15.8;0.03720427073044542;0.2435848045373837,
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;SAN ANDRES Y  PROVIDENCIA (SANTA ISABEL);2023-S1;24817;0.0;21.4;0.009449167909094572;0.24635431497340773
CÓRDOBA;CHINÚ;2023-S1;6035;0.0;2.6;0.04790389395194698;0.1868572772769217,
CÓRDOBA;PUEBLO NUEVO;2023-S1;10103;0.0;2.6;0.001306542611105612;0.03498274829731537,
CASANARE;NUNCHÍA;2023-S1;23424;0.0;11.9;0.04300717213114754;0.333461325191288,
SUCRE;SAN PEDRO;2023-S1;19003;0.0;4.2;0.006809451139293796;0.06880536571253335,
VICHADA;LA PRIMAVERA;2023-S1;33016;0.0;18.6;0.04195238672158954;0.45691886841556234,
CÓRDOBA;AYAPEL;2023-S1;57844;0.0;23.3;0.017873936795518984;0.3195898706196399,
BOYACÁ;CUÍTIVA;2023-S1;49041;0.0;28.2;0.0975795762729145;0.8349822786763684,
CHOCÓ;BOJAYÁ (BELLAVISTA);2023-S1;20272;0.0;23.4;0.6736434490923442;1.6278071717466476,
ATLÁNTICO;SABANALARGA;2023-S1;24496;0.0;18.0;0.02332217504898759;0.27593009529418777,
BOYACÁ;SOCOTÁ;2023-S1;23260;0.0;4.7;0.11153912295786758;0.2454069149600984,
CUNDINAMARCA;GUTIÉRREZ;2023-S1;24577;0.0;7.0;0.03188346828335436;0.18339651575949617,
CHOCÓ;BAHÍA SOLANO (MUTIS);2023-S1;5432;0.0;0.0;0.0;0.0,
SUCRE;SAN BENITO ABAD;2023-S1;46676;0.0;21.7;0.031716513840089125;0.29758632214937875,
RISARALDA;SANTA ROSA DE CABAL;2023-S1;53465;0.0;12.6;0.028824464603011316;0.24151501877623288,
VALLE DEL CAUCA;FLORIDA;2023-S1;47849;0.0;7.4;0.016727622311856045;0.16553046433892452,
CESAR;GAMARRA;2023-S1;10616;0.0;1.2;0.044574227581009804;0.17690154578586573,
TOLIMA;VILLARRICA;2023-S1;3137;0.0;0.1;3.187759005419191e-05;0.0017854296416882941,
CUNDINAMARCA;UBATÉ;2023-S1;4529;0.0;4.1;0.020556414219474496;0.15537782930696023,
NARIÑO;IMUÉS;2023-S1;5263;0.0;4.3;0.028158844765342958;0.17743626925637257,
CHOCÓ;ACANDÍ;2023-S1;469;0.0;0.0;0.0;0.0,
ANTIOQUIA;RETIRO;2023-S1;8029;0.0;9.0;0.03572051313986798;0.2977233320808216,
SANTANDER;SAN VICENTE DE CHUCURÍ;2023-S1;19609;0.0;9.7;0.003773777347136519;0.12685199656631205,
NORTE DE SANTANDER;ÁBREGO;2023-S1;8311;0.0;11.0;0.017374563831067256;0.23990850466719157,
SANTANDER;MÁLAGA;2023-S1;8313;0.0;0.0;0.0;0.0,
BOYACÁ;SAMACÁ;2023-S1;8311;0.0;6.2;0.012272891348814824;0.12427801850030083,
ATLANTICO;MANATÍ;2023-S1;8312;0.0;16.2;0.003103946102021174;0.18704264179181712,
SANTANDER;PIEDECUESTA;2023-S1;13949;0.0;17.6;0.032561473940784284;0.394300026184726,
ANTIOQUIA;CHIGORODÓ;2023-S1;8307;0.0;0.0;0.0;0.0,
SANTANDER;VETAS;2023-S1;8313;0.0;2.8;0.015493804883916757;0.10598340864474287,
META;VISTAHERMOSA;2023-S1;8313;0.0;0.2;0.0003849392517743294;0.007589442561982193,
BOYACÁ;SOCHA;2023-S1;14818;0.0;7.1;0.012262113645566203;0.1300349535740901,
TOLIMA;VENADILLO;2023-S1;6505;0.0;0.0;0.0;0.0,
CUNDINAMARCA;CHÍA;2023-S1;15116;0.0;4.6;0.014659962953162214;0.11937408496294166,
CAUCA;SAN SEBASTIAN;2023-S1;8313;0.0;10.6;0.036328641886202336;0.2953091621016358,
CUNDINAMARCA;FACATATIVÁ;2023-S1;8169;0.0;5.4;0.01953727506426735;0.14521499938199262,
NORTE DE SANTANDER;TOLEDO;2023-S1;8160;0.0;1.8;0.00875;0.06764583552304411,
SANTANDER;CERRITO;2023-S1;13830;0.0;4.9;0.022147505422993492;0.13747677617663057,
SANTANDER;SURATÁ;2023-S1;16620;0.0;8.3;0.006570397111913357;0.10789367054825626,
SANTANDER;MOGOTES;2023-S1;11455;0.0;16.4;0.06281972937581842;0.5591450390338781,
ANTIOQUIA;CAUCASIA;2023-S1;2876;0.0;0.8;0.0006954102920723226;0.018260045996569104,
NORTE DE SANTANDER;CÁCHIRA;2023-S1;8313;0.0;3.2;0.008901720197281367;0.09048930771402322,
TOLIMA;ESPINAL;2023-S1;8312;0.0;5.1;0.020476419634263714;0.12793770357270615,
